City,Constituency,Votes,Option
Abrera,Barcelona,1272,Abstención
Abrera,Barcelona,26,Votos nulos
Abrera,Barcelona,38,Votos en blanco
Abrera,Barcelona,2559,C's
Abrera,Barcelona,1487,PSC
Abrera,Barcelona,1411,ERC-CatSí
Abrera,Barcelona,815,CatComú-Podem
Abrera,Barcelona,680,JUNTSxCAT
Abrera,Barcelona,321,PP
Abrera,Barcelona,198,CUP
Abrera,Barcelona,129,PACMA
Abrera,Barcelona,31,RECORTES CERO-GRUPO VERDE
"Cabanyes, les",Barcelona,90,Abstención
Cabrera de Mar,Barcelona,388,Abstención
Calaf,Barcelona,345,Abstención
"Bruc, el",Barcelona,229,Abstención
Cabrera d'Anoia,Barcelona,237,Abstención
"Cabanyes, les",Barcelona,2,Votos nulos
"Cabanyes, les",Barcelona,1,Votos en blanco
"Cabanyes, les",Barcelona,220,JUNTSxCAT
"Cabanyes, les",Barcelona,144,ERC-CatSí
"Cabanyes, les",Barcelona,100,C's
"Cabanyes, les",Barcelona,54,PSC
"Cabanyes, les",Barcelona,37,CUP
"Cabanyes, les",Barcelona,30,CatComú-Podem
"Cabanyes, les",Barcelona,15,PP
"Cabanyes, les",Barcelona,3,PACMA
Cabrera de Mar,Barcelona,10,Votos nulos
Cabrera de Mar,Barcelona,17,Votos en blanco
Cabrera de Mar,Barcelona,1189,JUNTSxCAT
Cabrera de Mar,Barcelona,717,ERC-CatSí
Cabrera de Mar,Barcelona,548,C's
Cabrera de Mar,Barcelona,270,PSC
Cabrera de Mar,Barcelona,149,CatComú-Podem
Cabrera de Mar,Barcelona,128,CUP
Cabrera de Mar,Barcelona,92,PP
Cabrera de Mar,Barcelona,18,PACMA
Cabrera de Mar,Barcelona,2,RECORTES CERO-GRUPO VERDE
Calaf,Barcelona,7,Votos nulos
Calaf,Barcelona,8,Votos en blanco
Calaf,Barcelona,814,JUNTSxCAT
Calaf,Barcelona,482,ERC-CatSí
Calaf,Barcelona,272,C's
Calaf,Barcelona,173,PSC
Calaf,Barcelona,85,CatComú-Podem
Calaf,Barcelona,84,CUP
Calaf,Barcelona,82,PP
Calaf,Barcelona,8,PACMA
Calaf,Barcelona,3,RECORTES CERO-GRUPO VERDE
"Bruc, el",Barcelona,4,Votos nulos
"Bruc, el",Barcelona,10,Votos en blanco
"Bruc, el",Barcelona,351,ERC-CatSí
"Bruc, el",Barcelona,301,JUNTSxCAT
"Bruc, el",Barcelona,220,C's
"Bruc, el",Barcelona,125,CUP
"Bruc, el",Barcelona,111,PSC
"Bruc, el",Barcelona,101,CatComú-Podem
"Bruc, el",Barcelona,40,PP
"Bruc, el",Barcelona,6,PACMA
"Bruc, el",Barcelona,3,RECORTES CERO-GRUPO VERDE
Cabrera d'Anoia,Barcelona,3,Votos nulos
Cabrera d'Anoia,Barcelona,3,Votos en blanco
Cabrera d'Anoia,Barcelona,230,C's
Cabrils,Barcelona,612,Abstención
"Brull, el",Barcelona,16,Abstención
Calders,Barcelona,95,Abstención
Borredà,Barcelona,54,Abstención
Cabrera d'Anoia,Barcelona,179,ERC-CatSí
Cabrera d'Anoia,Barcelona,136,PSC
Cabrera d'Anoia,Barcelona,111,JUNTSxCAT
Cabrera d'Anoia,Barcelona,57,CatComú-Podem
Cabrera d'Anoia,Barcelona,33,CUP
Cabrera d'Anoia,Barcelona,27,PP
Cabrera d'Anoia,Barcelona,10,PACMA
Cabrera d'Anoia,Barcelona,7,RECORTES CERO-GRUPO VERDE
Bigues i Riells,Barcelona,1076,Abstención
Cabrils,Barcelona,6,Votos nulos
Cabrils,Barcelona,12,Votos en blanco
Cabrils,Barcelona,1719,JUNTSxCAT
Cabrils,Barcelona,1019,ERC-CatSí
Cabrils,Barcelona,846,C's
Cabrils,Barcelona,367,PSC
Cabrils,Barcelona,201,CUP
Cabrils,Barcelona,196,CatComú-Podem
Cabrils,Barcelona,105,PP
Cabrils,Barcelona,41,PACMA
Cabrils,Barcelona,5,RECORTES CERO-GRUPO VERDE
Barcelona,Barcelona,206760,Abstención
"Brull, el",Barcelona,1,Votos en blanco
"Brull, el",Barcelona,103,JUNTSxCAT
"Brull, el",Barcelona,33,ERC-CatSí
"Brull, el",Barcelona,15,CUP
"Brull, el",Barcelona,7,C's
"Brull, el",Barcelona,4,PP
"Brull, el",Barcelona,2,CatComú-Podem
"Brull, el",Barcelona,1,PSC
"Brull, el",Barcelona,1,PACMA
Calders,Barcelona,4,Votos nulos
Calders,Barcelona,286,JUNTSxCAT
Calders,Barcelona,201,ERC-CatSí
Calders,Barcelona,59,CUP
Calders,Barcelona,55,C's
Calders,Barcelona,30,PSC
Calders,Barcelona,17,CatComú-Podem
Calders,Barcelona,13,PP
Calders,Barcelona,7,PACMA
Berga,Barcelona,2263,Abstención
Barberà del Vallès,Barcelona,3964,Abstención
Begues,Barcelona,650,Abstención
Borredà,Barcelona,1,Votos en blanco
Borredà,Barcelona,161,JUNTSxCAT
Borredà,Barcelona,69,ERC-CatSí
Borredà,Barcelona,29,CUP
Borredà,Barcelona,24,PSC
Borredà,Barcelona,19,C's
Borredà,Barcelona,6,PP
Borredà,Barcelona,5,CatComú-Podem
Borredà,Barcelona,1,PACMA
Bellprat,Barcelona,9,Abstención
Bigues i Riells,Barcelona,34,Votos nulos
Bigues i Riells,Barcelona,25,Votos en blanco
Bigues i Riells,Barcelona,1527,ERC-CatSí
Bigues i Riells,Barcelona,1411,C's
Bigues i Riells,Barcelona,1300,JUNTSxCAT
Bigues i Riells,Barcelona,554,PSC
Bigues i Riells,Barcelona,373,CatComú-Podem
Bigues i Riells,Barcelona,258,CUP
Bigues i Riells,Barcelona,175,PP
Bigues i Riells,Barcelona,54,PACMA
Bigues i Riells,Barcelona,13,RECORTES CERO-GRUPO VERDE
Castellolí,Barcelona,39,Abstención
Barcelona,Barcelona,2585,Votos nulos
Barcelona,Barcelona,3769,Votos en blanco
Barcelona,Barcelona,218746,C's
Barcelona,Barcelona,191226,ERC-CatSí
Barcelona,Barcelona,178880,JUNTSxCAT
Barcelona,Barcelona,132400,PSC
Barcelona,Barcelona,85239,CatComú-Podem
Barcelona,Barcelona,48360,CUP
Barcelona,Barcelona,46044,PP
Barcelona,Barcelona,7141,PACMA
Barcelona,Barcelona,2097,RECORTES CERO-GRUPO VERDE
Berga,Barcelona,40,Votos nulos
Berga,Barcelona,36,Votos en blanco
Berga,Barcelona,4047,JUNTSxCAT
Berga,Barcelona,2750,ERC-CatSí
Berga,Barcelona,1012,C's
Berga,Barcelona,803,CUP
Berga,Barcelona,630,PSC
Berga,Barcelona,314,CatComú-Podem
Berga,Barcelona,244,PP
Berga,Barcelona,43,PACMA
Berga,Barcelona,10,RECORTES CERO-GRUPO VERDE
Barberà del Vallès,Barcelona,77,Votos nulos
Barberà del Vallès,Barcelona,81,Votos en blanco
Barberà del Vallès,Barcelona,7140,C's
Barberà del Vallès,Barcelona,4079,PSC
Barberà del Vallès,Barcelona,3437,ERC-CatSí
Barberà del Vallès,Barcelona,2291,CatComú-Podem
Barberà del Vallès,Barcelona,1559,JUNTSxCAT
Barberà del Vallès,Barcelona,907,PP
Barberà del Vallès,Barcelona,702,CUP
Barberà del Vallès,Barcelona,294,PACMA
Barberà del Vallès,Barcelona,89,RECORTES CERO-GRUPO VERDE
Begues,Barcelona,14,Votos nulos
Begues,Barcelona,16,Votos en blanco
Begues,Barcelona,1168,ERC-CatSí
Begues,Barcelona,1057,JUNTSxCAT
Begues,Barcelona,962,C's
Begues,Barcelona,468,PSC
Begues,Barcelona,320,CatComú-Podem
Begues,Barcelona,238,CUP
Begues,Barcelona,90,PP
Begues,Barcelona,42,PACMA
Begues,Barcelona,6,RECORTES CERO-GRUPO VERDE
"Montmell, el",Tarragona,301,Abstención
Montferri,Tarragona,65,Abstención
Bellprat,Barcelona,3,Votos nulos
Bellprat,Barcelona,22,JUNTSxCAT
Bellprat,Barcelona,13,ERC-CatSí
Bellprat,Barcelona,10,C's
Bellprat,Barcelona,4,PSC
Bellprat,Barcelona,3,CUP
Bellprat,Barcelona,2,PP
Bellprat,Barcelona,2,CatComú-Podem
Castellolí,Barcelona,1,Votos nulos
Castellolí,Barcelona,3,Votos en blanco
Castellolí,Barcelona,207,JUNTSxCAT
Castellolí,Barcelona,128,ERC-CatSí
Castellolí,Barcelona,21,CUP
Castellolí,Barcelona,19,PSC
Castellolí,Barcelona,19,C's
Castellolí,Barcelona,17,CatComú-Podem
Castellolí,Barcelona,4,PP
Castellolí,Barcelona,4,PACMA
Montbrió del Camp,Tarragona,337,Abstención
Montblanc,Tarragona,840,Abstención
Mont-roig del Camp,Tarragona,1658,Abstención
Reus,Tarragona,13579,Abstención
"Montmell, el",Tarragona,2,Votos nulos
"Montmell, el",Tarragona,3,Votos en blanco
"Montmell, el",Tarragona,309,C's
"Montmell, el",Tarragona,147,ERC-CatSí
"Montmell, el",Tarragona,128,PSC
"Montmell, el",Tarragona,83,JUNTSxCAT
"Montmell, el",Tarragona,47,CatComú-Podem
"Montmell, el",Tarragona,44,PP
"Montmell, el",Tarragona,27,CUP
"Montmell, el",Tarragona,7,PACMA
Montferri,Tarragona,1,Votos nulos
Montferri,Tarragona,56,C's
Montferri,Tarragona,48,JUNTSxCAT
Montferri,Tarragona,47,ERC-CatSí
Montferri,Tarragona,30,PSC
Montferri,Tarragona,19,CatComú-Podem
Montferri,Tarragona,15,CUP
Montferri,Tarragona,5,PP
Montferri,Tarragona,4,PACMA
Montbrió del Camp,Tarragona,5,Votos nulos
Montbrió del Camp,Tarragona,6,Votos en blanco
Montbrió del Camp,Tarragona,533,ERC-CatSí
Montbrió del Camp,Tarragona,498,JUNTSxCAT
Montbrió del Camp,Tarragona,329,C's
Montbrió del Camp,Tarragona,94,CUP
Montbrió del Camp,Tarragona,89,PSC
Montbrió del Camp,Tarragona,63,CatComú-Podem
Montbrió del Camp,Tarragona,48,PP
Montbrió del Camp,Tarragona,19,PACMA
Montbrió del Camp,Tarragona,3,RECORTES CERO-GRUPO VERDE
Montblanc,Tarragona,24,Votos nulos
Montblanc,Tarragona,26,Votos en blanco
Montblanc,Tarragona,1562,JUNTSxCAT
Montblanc,Tarragona,1327,ERC-CatSí
Montblanc,Tarragona,556,C's
Montblanc,Tarragona,368,PSC
Montblanc,Tarragona,249,CUP
Montblanc,Tarragona,170,CatComú-Podem
Montblanc,Tarragona,111,PP
Montblanc,Tarragona,32,PACMA
Montblanc,Tarragona,2,RECORTES CERO-GRUPO VERDE
Mont-roig del Camp,Tarragona,24,Votos nulos
Mont-roig del Camp,Tarragona,21,Votos en blanco
Mont-roig del Camp,Tarragona,1977,C's
Mont-roig del Camp,Tarragona,1055,JUNTSxCAT
Mont-roig del Camp,Tarragona,1013,ERC-CatSí
Mont-roig del Camp,Tarragona,604,PSC
Mont-roig del Camp,Tarragona,284,PP
Mont-roig del Camp,Tarragona,271,CatComú-Podem
Mont-roig del Camp,Tarragona,119,CUP
Mont-roig del Camp,Tarragona,47,PACMA
Mont-roig del Camp,Tarragona,7,RECORTES CERO-GRUPO VERDE
Reus,Tarragona,255,Votos nulos
Reus,Tarragona,255,Votos en blanco
Reus,Tarragona,18405,C's
Reus,Tarragona,11410,JUNTSxCAT
Reus,Tarragona,11202,ERC-CatSí
Reus,Tarragona,6700,PSC
Reus,Tarragona,2836,PP
Reus,Tarragona,2736,CatComú-Podem
Reus,Tarragona,2418,CUP
Reus,Tarragona,559,PACMA
Reus,Tarragona,120,RECORTES CERO-GRUPO VERDE
Renau,Tarragona,15,Abstención
"Vilella Baixa, la",Tarragona,11,Abstención
Rasquera,Tarragona,92,Abstención
Renau,Tarragona,1,Votos en blanco
Renau,Tarragona,26,ERC-CatSí
Renau,Tarragona,21,CUP
Renau,Tarragona,21,JUNTSxCAT
Renau,Tarragona,8,PSC
Renau,Tarragona,8,CatComú-Podem
Renau,Tarragona,7,C's
Xerta,Tarragona,132,Abstención
Vinyols i els Arcs,Tarragona,275,Abstención
"Vilella Baixa, la",Tarragona,2,Votos nulos
"Vilella Baixa, la",Tarragona,53,ERC-CatSí
"Vilella Baixa, la",Tarragona,37,JUNTSxCAT
"Vilella Baixa, la",Tarragona,15,CUP
"Vilella Baixa, la",Tarragona,10,CatComú-Podem
"Vilella Baixa, la",Tarragona,7,PSC
"Vilella Baixa, la",Tarragona,5,C's
"Vilella Baixa, la",Tarragona,4,PP
Vinebre,Tarragona,35,Abstención
Vimbodí i Poblet,Tarragona,110,Abstención
Rasquera,Tarragona,4,Votos en blanco
Rasquera,Tarragona,243,ERC-CatSí
Rasquera,Tarragona,167,JUNTSxCAT
Rasquera,Tarragona,27,PSC
Rasquera,Tarragona,26,CUP
Rasquera,Tarragona,20,C's
Rasquera,Tarragona,15,CatComú-Podem
Rasquera,Tarragona,3,PP
Xerta,Tarragona,7,Votos nulos
Xerta,Tarragona,5,Votos en blanco
Xerta,Tarragona,338,ERC-CatSí
Xerta,Tarragona,198,JUNTSxCAT
Xerta,Tarragona,105,C's
Xerta,Tarragona,52,PSC
Xerta,Tarragona,50,CUP
Xerta,Tarragona,35,CatComú-Podem
Xerta,Tarragona,19,PP
Xerta,Tarragona,3,PACMA
Vinyols i els Arcs,Tarragona,7,Votos nulos
Vinyols i els Arcs,Tarragona,301,JUNTSxCAT
Vinyols i els Arcs,Tarragona,296,ERC-CatSí
Vinyols i els Arcs,Tarragona,255,C's
Vinyols i els Arcs,Tarragona,96,PSC
Vinyols i els Arcs,Tarragona,54,PP
Vinyols i els Arcs,Tarragona,44,CUP
Vinyols i els Arcs,Tarragona,41,CatComú-Podem
Vinyols i els Arcs,Tarragona,8,PACMA
Vinyols i els Arcs,Tarragona,1,RECORTES CERO-GRUPO VERDE
Tremp,Lleida,974,Abstención
Vinebre,Tarragona,3,Votos nulos
Vinebre,Tarragona,2,Votos en blanco
Vinebre,Tarragona,103,JUNTSxCAT
Vinebre,Tarragona,73,ERC-CatSí
Vinebre,Tarragona,29,C's
Vinebre,Tarragona,18,PSC
Vinebre,Tarragona,15,CUP
Vinebre,Tarragona,10,CatComú-Podem
Vinebre,Tarragona,5,PP
Vinebre,Tarragona,2,PACMA
Vimbodí i Poblet,Tarragona,3,Votos nulos
Vimbodí i Poblet,Tarragona,5,Votos en blanco
Vimbodí i Poblet,Tarragona,272,JUNTSxCAT
Vimbodí i Poblet,Tarragona,221,ERC-CatSí
Vimbodí i Poblet,Tarragona,52,C's
Vimbodí i Poblet,Tarragona,30,CUP
Vimbodí i Poblet,Tarragona,26,PSC
Vimbodí i Poblet,Tarragona,22,CatComú-Podem
Vimbodí i Poblet,Tarragona,13,PP
Vimbodí i Poblet,Tarragona,3,PACMA
"Vilella Alta, la",Tarragona,9,Abstención
Tremp,Lleida,12,Votos nulos
Tremp,Lleida,20,Votos en blanco
Tremp,Lleida,1266,JUNTSxCAT
Tremp,Lleida,774,ERC-CatSí
Tremp,Lleida,464,C's
Tremp,Lleida,281,PSC
Tremp,Lleida,175,CUP
Tremp,Lleida,140,CatComú-Podem
Tremp,Lleida,119,PP
Tremp,Lleida,17,PACMA
Tremp,Lleida,5,RECORTES CERO-GRUPO VERDE
Tremp,Lleida,1,PU M+J
Torres de Segre,Lleida,216,Abstención
"Vilella Alta, la",Tarragona,2,Votos nulos
"Vilella Alta, la",Tarragona,29,ERC-CatSí
"Vilella Alta, la",Tarragona,23,JUNTSxCAT
"Vilella Alta, la",Tarragona,21,CUP
"Vilella Alta, la",Tarragona,5,PSC
"Vilella Alta, la",Tarragona,4,C's
"Vilella Alta, la",Tarragona,1,PP
"Vilella Alta, la",Tarragona,1,CatComú-Podem
Vinaixa,Lleida,58,Abstención
"Vilosell, el",Lleida,23,Abstención
Vilanova de Segrià,Lleida,123,Abstención
Vilanova de Meià,Lleida,49,Abstención
Torres de Segre,Lleida,5,Votos nulos
Torres de Segre,Lleida,2,Votos en blanco
Torres de Segre,Lleida,404,JUNTSxCAT
Torres de Segre,Lleida,332,ERC-CatSí
Torres de Segre,Lleida,132,C's
Torres de Segre,Lleida,107,PSC
Torres de Segre,Lleida,53,CUP
Torres de Segre,Lleida,51,PP
Torres de Segre,Lleida,38,CatComú-Podem
Torres de Segre,Lleida,5,PACMA
Torres de Segre,Lleida,3,PU M+J
Torres de Segre,Lleida,1,RECORTES CERO-GRUPO VERDE
Vinaixa,Lleida,3,Votos en blanco
Vinaixa,Lleida,125,JUNTSxCAT
Vinaixa,Lleida,110,ERC-CatSí
Vinaixa,Lleida,53,C's
Vinaixa,Lleida,22,CUP
Vinaixa,Lleida,16,CatComú-Podem
Vinaixa,Lleida,15,PSC
Vinaixa,Lleida,7,PP
Vinaixa,Lleida,1,PU M+J
Vilanova de la Barca,Lleida,102,Abstención
"Vilosell, el",Lleida,2,Votos en blanco
"Vilosell, el",Lleida,51,JUNTSxCAT
"Vilosell, el",Lleida,48,ERC-CatSí
"Vilosell, el",Lleida,9,C's
"Vilosell, el",Lleida,7,CUP
"Vilosell, el",Lleida,4,PSC
"Vilosell, el",Lleida,4,CatComú-Podem
"Vilosell, el",Lleida,2,PP
Vilanova de l'Aguda,Lleida,24,Abstención
Vilanova de Segrià,Lleida,1,Votos nulos
Vilanova de Segrià,Lleida,1,Votos en blanco
Vilanova de Segrià,Lleida,208,JUNTSxCAT
Vilanova de Segrià,Lleida,187,ERC-CatSí
Vilanova de Segrià,Lleida,86,C's
Vilanova de Segrià,Lleida,27,CUP
Vilanova de Segrià,Lleida,26,PSC
Vilanova de Segrià,Lleida,25,PP
Vilanova de Segrià,Lleida,12,CatComú-Podem
Vilanova de Segrià,Lleida,4,PACMA
Vilanova de Segrià,Lleida,3,RECORTES CERO-GRUPO VERDE
Vilanova de Meià,Lleida,4,Votos nulos
Vilanova de Meià,Lleida,1,Votos en blanco
Vilanova de Meià,Lleida,110,ERC-CatSí
Vilanova de Meià,Lleida,105,JUNTSxCAT
Vilanova de Meià,Lleida,20,CUP
Vilanova de Meià,Lleida,17,PP
Vilanova de Meià,Lleida,14,PSC
Vilanova de Meià,Lleida,11,C's
Vilanova de Meià,Lleida,5,CatComú-Podem
Vilanova de Bellpuig,Lleida,114,Abstención
Vilanova de la Barca,Lleida,4,Votos nulos
Vilanova de la Barca,Lleida,2,Votos en blanco
Vilanova de la Barca,Lleida,242,JUNTSxCAT
Vilanova de la Barca,Lleida,156,ERC-CatSí
Vilanova de la Barca,Lleida,73,C's
Vilanova de la Barca,Lleida,56,PSC
Vilanova de la Barca,Lleida,34,PP
Vilanova de la Barca,Lleida,31,CatComú-Podem
Vilanova de la Barca,Lleida,23,CUP
Vilanova de la Barca,Lleida,4,PACMA
Vilanova de la Barca,Lleida,1,RECORTES CERO-GRUPO VERDE
Vilanova de la Barca,Lleida,1,PU M+J
Vilanova de l'Aguda,Lleida,2,Votos en blanco
Vilanova de l'Aguda,Lleida,57,ERC-CatSí
Vilanova de l'Aguda,Lleida,42,JUNTSxCAT
Vilanova de l'Aguda,Lleida,22,C's
Vilanova de l'Aguda,Lleida,12,PP
Vilanova de l'Aguda,Lleida,9,CUP
Vilanova de l'Aguda,Lleida,6,PSC
Vilanova de l'Aguda,Lleida,2,CatComú-Podem
Vilanova de l'Aguda,Lleida,1,PU M+J
Vilaller,Lleida,83,Abstención
Vilanova de Bellpuig,Lleida,1,Votos en blanco
Vilanova de Bellpuig,Lleida,395,JUNTSxCAT
Vilanova de Bellpuig,Lleida,208,ERC-CatSí
Vilanova de Bellpuig,Lleida,53,CUP
Vilanova de Bellpuig,Lleida,31,PSC
Vilanova de Bellpuig,Lleida,25,C's
Vilanova de Bellpuig,Lleida,24,PP
Vilanova de Bellpuig,Lleida,13,CatComú-Podem
Vilamòs,Lleida,38,Abstención
Vilagrassa,Lleida,47,Abstención
Vilaller,Lleida,1,Votos nulos
Vilaller,Lleida,91,ERC-CatSí
Vilaller,Lleida,79,JUNTSxCAT
Vilaller,Lleida,59,C's
Vilaller,Lleida,53,PSC
Vilaller,Lleida,26,CatComú-Podem
Vilaller,Lleida,23,CUP
Vilaller,Lleida,9,PP
Vilaller,Lleida,2,PACMA
Vilaller,Lleida,1,PU M+J
Vila-sana,Lleida,90,Abstención
Vielha e Mijaran,Lleida,960,Abstención
Verdú,Lleida,123,Abstención
"Vansa i Fórnols, la",Lleida,26,Abstención
Vilamòs,Lleida,43,C's
Vilamòs,Lleida,15,PSC
Vilamòs,Lleida,14,ERC-CatSí
Vilamòs,Lleida,9,JUNTSxCAT
Vilamòs,Lleida,4,CatComú-Podem
Vilamòs,Lleida,3,CUP
Vilamòs,Lleida,3,PP
Vilagrassa,Lleida,119,JUNTSxCAT
Vilagrassa,Lleida,94,ERC-CatSí
Vilagrassa,Lleida,44,C's
Vilagrassa,Lleida,18,PSC
Vilagrassa,Lleida,17,CUP
Vilagrassa,Lleida,11,PP
Vilagrassa,Lleida,4,CatComú-Podem
Vilagrassa,Lleida,2,PU M+J
"Valls de Valira, les",Lleida,212,Abstención
Vila-sana,Lleida,2,Votos nulos
Vila-sana,Lleida,3,Votos en blanco
Vila-sana,Lleida,206,JUNTSxCAT
Vila-sana,Lleida,119,ERC-CatSí
Vila-sana,Lleida,44,C's
Vila-sana,Lleida,30,PSC
Vila-sana,Lleida,17,CUP
Vila-sana,Lleida,15,CatComú-Podem
Vila-sana,Lleida,14,PP
Vila-sana,Lleida,2,PACMA
Vielha e Mijaran,Lleida,19,Votos nulos
Vielha e Mijaran,Lleida,13,Votos en blanco
Vielha e Mijaran,Lleida,885,C's
Vielha e Mijaran,Lleida,530,PSC
Vielha e Mijaran,Lleida,387,JUNTSxCAT
Vielha e Mijaran,Lleida,369,ERC-CatSí
Vielha e Mijaran,Lleida,224,PP
Vielha e Mijaran,Lleida,199,CatComú-Podem
Vielha e Mijaran,Lleida,72,CUP
Vielha e Mijaran,Lleida,23,PACMA
Vielha e Mijaran,Lleida,8,PU M+J
Vielha e Mijaran,Lleida,5,RECORTES CERO-GRUPO VERDE
Verdú,Lleida,6,Votos nulos
Verdú,Lleida,3,Votos en blanco
Verdú,Lleida,258,JUNTSxCAT
Verdú,Lleida,142,ERC-CatSí
Verdú,Lleida,65,C's
Verdú,Lleida,30,PSC
Verdú,Lleida,24,CUP
Verdú,Lleida,23,PP
Verdú,Lleida,20,CatComú-Podem
Verdú,Lleida,3,PACMA
Verdú,Lleida,2,PU M+J
"Vansa i Fórnols, la",Lleida,1,Votos nulos
"Vansa i Fórnols, la",Lleida,1,Votos en blanco
"Vansa i Fórnols, la",Lleida,55,JUNTSxCAT
"Vansa i Fórnols, la",Lleida,35,ERC-CatSí
"Vansa i Fórnols, la",Lleida,17,CUP
"Vansa i Fórnols, la",Lleida,6,C's
"Vansa i Fórnols, la",Lleida,4,CatComú-Podem
"Vansa i Fórnols, la",Lleida,2,PP
"Vansa i Fórnols, la",Lleida,2,PSC
"Valls d'Aguilar, les",Lleida,52,Abstención
"Valls de Valira, les",Lleida,1,Votos nulos
"Valls de Valira, les",Lleida,3,Votos en blanco
"Valls de Valira, les",Lleida,137,JUNTSxCAT
"Valls de Valira, les",Lleida,104,ERC-CatSí
"Valls de Valira, les",Lleida,66,C's
"Valls de Valira, les",Lleida,23,CatComú-Podem
"Valls de Valira, les",Lleida,22,PSC
"Valls de Valira, les",Lleida,14,CUP
"Valls de Valira, les",Lleida,10,PP
"Valls de Valira, les",Lleida,2,RECORTES CERO-GRUPO VERDE
"Valls de Valira, les",Lleida,1,PU M+J
Vilobí del Penedès,Barcelona,98,Abstención
"Valls d'Aguilar, les",Lleida,3,Votos nulos
"Valls d'Aguilar, les",Lleida,62,JUNTSxCAT
"Valls d'Aguilar, les",Lleida,57,ERC-CatSí
"Valls d'Aguilar, les",Lleida,17,PSC
"Valls d'Aguilar, les",Lleida,9,C's
"Valls d'Aguilar, les",Lleida,4,CUP
"Valls d'Aguilar, les",Lleida,4,CatComú-Podem
"Valls d'Aguilar, les",Lleida,1,PP
"Valls d'Aguilar, les",Lleida,1,RECORTES CERO-GRUPO VERDE
Vallfogona de Balaguer,Lleida,195,Abstención
Vilassar de Mar,Barcelona,2129,Abstención
Vallbona de les Monges,Lleida,25,Abstención
Vall de Cardós,Lleida,50,Abstención
Vilobí del Penedès,Barcelona,2,Votos en blanco
Vilobí del Penedès,Barcelona,318,JUNTSxCAT
Vilobí del Penedès,Barcelona,194,ERC-CatSí
Vilobí del Penedès,Barcelona,68,C's
Vilobí del Penedès,Barcelona,52,CUP
Vilobí del Penedès,Barcelona,36,PSC
Vilobí del Penedès,Barcelona,22,CatComú-Podem
Vilobí del Penedès,Barcelona,9,PP
Vilobí del Penedès,Barcelona,1,PACMA
Vilobí del Penedès,Barcelona,1,RECORTES CERO-GRUPO VERDE
"Vall de Boí, la",Lleida,152,Abstención
Vallfogona de Balaguer,Lleida,4,Votos nulos
Vallfogona de Balaguer,Lleida,5,Votos en blanco
Vallfogona de Balaguer,Lleida,379,ERC-CatSí
Vallfogona de Balaguer,Lleida,370,JUNTSxCAT
Vallfogona de Balaguer,Lleida,169,C's
Vallfogona de Balaguer,Lleida,104,PSC
Vallfogona de Balaguer,Lleida,70,PP
Vallfogona de Balaguer,Lleida,43,CUP
Vallfogona de Balaguer,Lleida,35,CatComú-Podem
Vallfogona de Balaguer,Lleida,3,PACMA
Vallfogona de Balaguer,Lleida,3,PU M+J
Vallfogona de Balaguer,Lleida,1,RECORTES CERO-GRUPO VERDE
Vilassar de Mar,Barcelona,30,Votos nulos
Vilassar de Mar,Barcelona,57,Votos en blanco
Vilassar de Mar,Barcelona,4109,JUNTSxCAT
Vilassar de Mar,Barcelona,3291,ERC-CatSí
Vilassar de Mar,Barcelona,2535,C's
Vilassar de Mar,Barcelona,1354,PSC
Vilassar de Mar,Barcelona,902,CatComú-Podem
Vilassar de Mar,Barcelona,701,CUP
Vilassar de Mar,Barcelona,336,PP
Vilassar de Mar,Barcelona,100,PACMA
Vilassar de Mar,Barcelona,22,RECORTES CERO-GRUPO VERDE
Viver i Serrateix,Barcelona,19,Abstención
Vilassar de Dalt,Barcelona,929,Abstención
Vallbona de les Monges,Lleida,1,Votos nulos
Vallbona de les Monges,Lleida,87,JUNTSxCAT
Vallbona de les Monges,Lleida,41,ERC-CatSí
Vallbona de les Monges,Lleida,16,C's
Vallbona de les Monges,Lleida,14,CUP
Vallbona de les Monges,Lleida,7,CatComú-Podem
Vallbona de les Monges,Lleida,3,PP
Vallbona de les Monges,Lleida,3,PSC
Vall de Cardós,Lleida,2,Votos en blanco
Vall de Cardós,Lleida,94,ERC-CatSí
Vall de Cardós,Lleida,66,JUNTSxCAT
Vall de Cardós,Lleida,25,CUP
Vall de Cardós,Lleida,24,C's
Vall de Cardós,Lleida,16,PSC
Vall de Cardós,Lleida,9,PP
Vall de Cardós,Lleida,7,CatComú-Podem
Vall de Cardós,Lleida,2,PACMA
"Vall de Boí, la",Lleida,5,Votos nulos
"Vall de Boí, la",Lleida,4,Votos en blanco
"Vall de Boí, la",Lleida,245,ERC-CatSí
"Vall de Boí, la",Lleida,228,JUNTSxCAT
"Vall de Boí, la",Lleida,69,CUP
"Vall de Boí, la",Lleida,34,CatComú-Podem
"Vall de Boí, la",Lleida,32,PSC
"Vall de Boí, la",Lleida,29,C's
"Vall de Boí, la",Lleida,6,PP
"Vall de Boí, la",Lleida,3,PACMA
"Vall de Boí, la",Lleida,2,PU M+J
Viver i Serrateix,Barcelona,89,JUNTSxCAT
Viver i Serrateix,Barcelona,11,ERC-CatSí
Viver i Serrateix,Barcelona,10,CUP
Viver i Serrateix,Barcelona,3,PSC
Viver i Serrateix,Barcelona,1,PP
Viver i Serrateix,Barcelona,1,C's
Vilassar de Dalt,Barcelona,15,Votos nulos
Vilassar de Dalt,Barcelona,21,Votos en blanco
