Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,101007,0
Andalucía,Almería,Votos en blanco,734,0
Andalucía,Almería,Votos nulos,2570,0
Andalucía,Almería,PSOE,111617,4
Andalucía,Almería,AP-PDP-PL,54433,1
Andalucía,Almería,CDS,18960,0
Andalucía,Almería,IU,11010,0
Andalucía,Almería,MUC,1741,0
Andalucía,Almería,PRD,5565,0
Andalucía,Almería,PA,3109,0
Andalucía,Almería,FE-JONS,428,0
Andalucía,Almería,UCE,446,0
Andalucía,Almería,UPR,707,0
Andalucía,Almería,POSI,282,0
Andalucía,Almería,PSPA,1035,0
Andalucía,Cádiz,Abstención,243282,0
Andalucía,Cádiz,Votos en blanco,2416,0
Andalucía,Cádiz,Votos nulos,8290,0
Andalucía,Cádiz,PSOE,286104,7
Andalucía,Cádiz,AP-PDP-PL,93284,2
Andalucía,Cádiz,CDS,26080,0
Andalucía,Cádiz,IU,27527,0
Andalucía,Cádiz,MUC,3743,0
Andalucía,Cádiz,PRD,3234,0
Andalucía,Cádiz,PA,19682,0
Andalucía,Cádiz,PST,2117,0
Andalucía,Cádiz,PCC,489,0
Andalucía,Cádiz,FE-JONS,1419,0
Andalucía,Cádiz,UCE,961,0
Andalucía,Cádiz,UPR,938,0
Andalucía,Cádiz,POSI,994,0
Andalucía,Cádiz,PSPA,2186,0
Andalucía,Córdoba,Abstención,130918,0
Andalucía,Córdoba,Votos en blanco,2383,0
Andalucía,Córdoba,Votos nulos,4887,0
Andalucía,Córdoba,PSOE,223759,4
Andalucía,Córdoba,AP-PDP-PL,90637,2
Andalucía,Córdoba,CDS,27211,0
Andalucía,Córdoba,IU,51007,1
Andalucía,Córdoba,MUC,3246,0
Andalucía,Córdoba,PRD,4075,0
Andalucía,Córdoba,PA,12211,0
Andalucía,Córdoba,PST,903,0
Andalucía,Córdoba,FE-JONS,170,0
Andalucía,Córdoba,UCE,534,0
Andalucía,Córdoba,UPR,315,0
Andalucía,Córdoba,POSI,327,0
Andalucía,Córdoba,PSPA,1109,0
Andalucía,Granada,Abstención,178434,0
Andalucía,Granada,Votos en blanco,1604,0
Andalucía,Granada,Votos nulos,4288,0
Andalucía,Granada,PSOE,212031,5
Andalucía,Granada,AP-PDP-PL,105156,2
Andalucía,Granada,CDS,27398,0
Andalucía,Granada,IU,28198,0
Andalucía,Granada,MUC,9890,0
Andalucía,Granada,PRD,3103,0
Andalucía,Granada,PA,5165,0
Andalucía,Granada,PST,865,0
Andalucía,Granada,PCC,267,0
Andalucía,Granada,FE-JONS,848,0
Andalucía,Granada,UCE,619,0
Andalucía,Granada,UPR,432,0
Andalucía,Granada,PSPA,4303,0
Andalucía,Granada,CUN,366,0
Andalucía,Huelva,Abstención,101280,0
Andalucía,Huelva,Votos en blanco,931,0
Andalucía,Huelva,Votos nulos,3425,0
Andalucía,Huelva,PSOE,130386,4
Andalucía,Huelva,AP-PDP-PL,44778,1
Andalucía,Huelva,CDS,12034,0
Andalucía,Huelva,IU,11068,0
Andalucía,Huelva,MUC,1889,0
Andalucía,Huelva,PRD,1698,0
Andalucía,Huelva,PA,4910,0
Andalucía,Huelva,FE-JONS,361,0
Andalucía,Huelva,UCE,445,0
Andalucía,Huelva,PSPA,1041,0
Andalucía,Jaén,Abstención,117439,0
Andalucía,Jaén,Votos en blanco,1171,0
Andalucía,Jaén,Votos nulos,4141,0
Andalucía,Jaén,PSOE,201494,4
Andalucía,Jaén,AP-PDP-PL,98395,2
Andalucía,Jaén,CDS,19507,0
Andalucía,Jaén,IU,33569,0
Andalucía,Jaén,MUC,2042,0
Andalucía,Jaén,PRD,2569,0
Andalucía,Jaén,PA,4483,0
Andalucía,Jaén,FE-JONS,534,0
Andalucía,Jaén,UCE,390,0
Andalucía,Jaén,UPR,316,0
Andalucía,Jaén,POSI,338,0
Andalucía,Jaén,PSPA,976,0
Andalucía,Málaga,Abstención,248453,0
Andalucía,Málaga,Votos en blanco,2531,0
Andalucía,Málaga,Votos nulos,8058,0
