Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,154090,0
Andalucía,Almería,Votos en blanco,3490,0
Andalucía,Almería,Votos nulos,2581,0
Andalucía,Almería,PP,180249,4
Andalucía,Almería,PSOE,93495,2
Andalucía,Almería,IU-LV,16445,0
Andalucía,Almería,UPyD,12225,0
Andalucía,Almería,EQUO,2828,0
Andalucía,Almería,PA,2659,0
Andalucía,Almería,ANTICAPITALISTAS,338,0
Andalucía,Almería,UCE,178,0
Andalucía,Almería,D.N.,493,0
Andalucía,Almería,PRAO,253,0
Andalucía,Almería,DeC,270,0
Andalucía,Cádiz,Abstención,355270,0
Andalucía,Cádiz,Votos en blanco,8511,0
Andalucía,Cádiz,Votos nulos,5539,0
Andalucía,Cádiz,PP,291897,5
Andalucía,Cádiz,PSOE,203251,3
Andalucía,Cádiz,IU-LV,54262,0
Andalucía,Cádiz,UPyD,29761,0
Andalucía,Cádiz,EQUO,4345,0
Andalucía,Cádiz,PACMA,2872,0
Andalucía,Cádiz,Eb,2329,0
Andalucía,Cádiz,PA,19289,0
Andalucía,Cádiz,P.C.P.E.,1072,0
Andalucía,Cádiz,ANTICAPITALISTAS,874,0
Andalucía,Cádiz,UCE,265,0
Andalucía,Cádiz,HARTOS.ORG,921,0
Andalucía,Cádiz,INTERNET,603,0
Andalucía,Córdoba,Abstención,178239,0
Andalucía,Córdoba,Votos en blanco,6490,0
Andalucía,Córdoba,Votos nulos,5224,0
Andalucía,Córdoba,PP,209067,3
Andalucía,Córdoba,PSOE,170367,3
Andalucía,Córdoba,IU-LV,46066,0
Andalucía,Córdoba,UPyD,17998,0
Andalucía,Córdoba,EQUO,3782,0
Andalucía,Córdoba,Eb,1786,0
Andalucía,Córdoba,PA,10453,0
Andalucía,Córdoba,PUM+J,701,0
Andalucía,Córdoba,P.C.P.E.,982,0
Andalucía,Córdoba,UCE,188,0
Andalucía,Córdoba,SAIn,241,0
Andalucía,Córdoba,FE de las JONS,502,0
Andalucía,Granada,Abstención,221167,0
Andalucía,Granada,Votos en blanco,5294,0
Andalucía,Granada,Votos nulos,5252,0
Andalucía,Granada,PP,237785,4
Andalucía,Granada,PSOE,185867,3
Andalucía,Granada,IU-LV,40360,0
Andalucía,Granada,UPyD,26255,0
Andalucía,Granada,EQUO,3852,0
Andalucía,Granada,PACMA,1370,0
Andalucía,Granada,Eb,1200,0
Andalucía,Granada,PA,3942,0
Andalucía,Granada,PUM+J,544,0
Andalucía,Granada,P.C.P.E.,873,0
Andalucía,Granada,ANTICAPITALISTAS,484,0
Andalucía,Granada,UCE,151,0
Andalucía,Granada,SAIn,185,0
Andalucía,Granada,PRAO,620,0
Andalucía,Huelva,Abstención,125967,0
Andalucía,Huelva,Votos en blanco,3412,0
Andalucía,Huelva,Votos nulos,3281,0
Andalucía,Huelva,PP,115651,3
Andalucía,Huelva,PSOE,106835,2
Andalucía,Huelva,IU-LV,18532,0
Andalucía,Huelva,UPyD,9048,0
Andalucía,Huelva,EQUO,2001,0
Andalucía,Huelva,PACMA,821,0
Andalucía,Huelva,Eb,917,0
Andalucía,Huelva,PA,4992,0
Andalucía,Huelva,PUM+J,309,0
Andalucía,Huelva,P.C.P.E.,444,0
Andalucía,Huelva,RPS,249,0
Andalucía,Huelva,D.N.,296,0
Andalucía,Jaén,Abstención,129463,0
Andalucía,Jaén,Votos en blanco,4124,0
Andalucía,Jaén,Votos nulos,4130,0
Andalucía,Jaén,PP,183339,3
Andalucía,Jaén,PSOE,165348,3
Andalucía,Jaén,IU-LV,28059,0
Andalucía,Jaén,UPyD,13727,0
Andalucía,Jaén,EQUO,2149,0
Andalucía,Jaén,PA,4920,0
Andalucía,Jaén,UCE,412,0
Andalucía,Jaén,SAIn,454,0
Andalucía,Jaén,PRAO,911,0
Andalucía,Málaga,Abstención,389411,0
Andalucía,Málaga,Votos en blanco,8350,0
Andalucía,Málaga,Votos nulos,6834,0
Andalucía,Málaga,PP,357578,6
Andalucía,Málaga,PSOE,227463,3
Andalucía,Málaga,IU-LV,64969,1
Andalucía,Málaga,UPyD,40407,0
Andalucía,Málaga,EQUO,5369,0
Andalucía,Málaga,PACMA,2903,0
Andalucía,Málaga,Eb,1996,0
Andalucía,Málaga,PA,7442,0
Andalucía,Málaga,P.C.P.E.,1108,0
Andalucía,Málaga,UCE,383,0
Andalucía,Málaga,PH,756,0
Andalucía,Málaga,SAIn,341,0
Andalucía,Málaga,ACIMA,966,0
Andalucía,Sevilla,Abstención,433483,0
Andalucía,Sevilla,Votos en blanco,13596,0
Andalucía,Sevilla,Votos nulos,12464,0
Andalucía,Sevilla,PP,410046,5
Andalucía,Sevilla,PSOE,442267,6
Andalucía,Sevilla,IU-LV,91519,1
Andalucía,Sevilla,UPyD,58502,0
Andalucía,Sevilla,EQUO,11313,0
Andalucía,Sevilla,Eb,2966,0
Andalucía,Sevilla,PA,23302,0
Andalucía,Sevilla,PUM+J,1415,0
Andalucía,Sevilla,P.C.P.E.,1077,0
Andalucía,Sevilla,ANTICAPITALISTAS,1194,0
Andalucía,Sevilla,UCE,332,0
Andalucía,Sevilla,PH,900,0
Andalucía,Sevilla,SAIn,593,0
Andalucía,Sevilla,FE de las JONS,1160,0
Aragón,Huesca,Abstención,53026,0
Aragón,Huesca,Votos en blanco,2890,0
Aragón,Huesca,Votos nulos,2117,0
Aragón,Huesca,PP,58435,2
Aragón,Huesca,PSOE,40721,1
Aragón,Huesca,IU-LV,9937,0
Aragón,Huesca,UPyD,5408,0
Aragón,Huesca,EQUO,1471,0
Aragón,Huesca,PACMA,558,0
Aragón,Huesca,PUM+J,286,0
Aragón,Huesca,P.C.P.E.,354,0
Aragón,Huesca,UCE,107,0
Aragón,Huesca,PIRATA,403,0
Aragón,Teruel,Abstención,33372,0
Aragón,Teruel,Votos en blanco,1694,0
Aragón,Teruel,Votos nulos,1700,0
Aragón,Teruel,PP,39993,2
Aragón,Teruel,PSOE,25426,1
Aragón,Teruel,IU-LV,6103,0
Aragón,Teruel,UPyD,2656,0
Aragón,Teruel,PACMA,260,0
Aragón,Teruel,Eb,466,0
Aragón,Teruel,PUM+J,151,0
Aragón,Teruel,UCE,93,0
Aragón,Teruel,PIRATA,218,0
Aragón,Teruel,SXT,169,0
Aragón,Zaragoza,Abstención,209041,0
Aragón,Zaragoza,Votos en blanco,9951,0
Aragón,Zaragoza,Votos nulos,7562,0
Aragón,Zaragoza,PP,241074,4
Aragón,Zaragoza,PSOE,158167,2
Aragón,Zaragoza,IU-LV,58904,1
Aragón,Zaragoza,UPyD,32968,0
Aragón,Zaragoza,EQUO,3858,0
Aragón,Zaragoza,PACMA,2586,0
Aragón,Zaragoza,Eb,2640,0
Aragón,Zaragoza,PUM+J,939,0
Aragón,Zaragoza,P.C.P.E.,1055,0
Aragón,Zaragoza,UCE,370,0
Aragón,Zaragoza,PH,463,0
Aragón,Zaragoza,P-LIB,410,0
Aragón,Zaragoza,DeC,508,0
Principado de Asturias,Asturias,Abstención,350416,0
Principado de Asturias,Asturias,Votos en blanco,8392,0
Principado de Asturias,Asturias,Votos nulos,6193,0
Principado de Asturias,Asturias,PP,223906,3
Principado de Asturias,Asturias,PSOE,185526,3
Principado de Asturias,Asturias,IU-LV,83755,1
Principado de Asturias,Asturias,UPyD,24721,0
Principado de Asturias,Asturias,EQUO,4033,0
Principado de Asturias,Asturias,PACMA,2125,0
Principado de Asturias,Asturias,FAC,92828,1
Principado de Asturias,Asturias,Eb,2532,0
Principado de Asturias,Asturias,PUM+J,383,0
Principado de Asturias,Asturias,P.C.P.E.,1202,0
Principado de Asturias,Asturias,UCE,209,0
Principado de Asturias,Asturias,PH,284,0
Principado de Asturias,Asturias,SAIn,282,0
Principado de Asturias,Asturias,HARTOS.ORG,867,0
Principado de Asturias,Asturias,ANDECHA,1087,0
Principado de Asturias,Asturias,PDYC,304,0
Illes Balears,Illes Balears,Abstención,285252,0
Illes Balears,Illes Balears,Votos en blanco,7941,0
Illes Balears,Illes Balears,Votos nulos,7216,0
Illes Balears,Illes Balears,PP,217327,5
Illes Balears,Illes Balears,PSOE,126512,3
Illes Balears,Illes Balears,IU-LV,21668,0
Illes Balears,Illes Balears,UPyD,18525,0
Illes Balears,Illes Balears,ESQUERRA,4681,0
Illes Balears,Illes Balears,EQUO,31417,0
Illes Balears,Illes Balears,PACMA,3641,0
Illes Balears,Illes Balears,Eb,4271,0
Illes Balears,Illes Balears,PUM+J,1093,0
Illes Balears,Illes Balears,UCE,450,0
Illes Balears,Illes Balears,PFyV,746,0
Canarias,Las Palmas,Abstención,313919,0
Canarias,Las Palmas,Votos en blanco,6990,0
Canarias,Las Palmas,Votos nulos,8515,0
Canarias,Las Palmas,PP,240897,5
Canarias,Las Palmas,PSOE,123486,2
Canarias,Las Palmas,IU-LV,19971,0
Canarias,Las Palmas,UPyD,13208,0
Canarias,Las Palmas,EQUO,5414,0
Canarias,Las Palmas,CC-NC-PNC,53329,1
Canarias,Las Palmas,PACMA,2012,0
Canarias,Las Palmas,PUM+J,1288,0
Canarias,Las Palmas,P.C.P.E.,1460,0
Canarias,Las Palmas,UCE,541,0
Canarias,Las Palmas,PH,1051,0
Canarias,Las Palmas,SAIn,316,0
Canarias,Las Palmas,ANC,987,0
Canarias,Las Palmas,UNIDAD DEL PUEBLO,1138,0
Canarias,Santa Cruz de Tenerife,Abstención,327368,0
Canarias,Santa Cruz de Tenerife,Votos en blanco,5054,0
Canarias,Santa Cruz de Tenerife,Votos nulos,7583,0
Canarias,Santa Cruz de Tenerife,PP,205221,4
Canarias,Santa Cruz de Tenerife,PSOE,107600,2
Canarias,Santa Cruz de Tenerife,IU-LV,20152,0
Canarias,Santa Cruz de Tenerife,UPyD,11316,0
Canarias,Santa Cruz de Tenerife,EQUO,10173,0
Canarias,Santa Cruz de Tenerife,CC-NC-PNC,90552,1
Canarias,Santa Cruz de Tenerife,PACMA,2894,0
Canarias,Santa Cruz de Tenerife,PUM+J,1384,0
Canarias,Santa Cruz de Tenerife,P.C.P.E.,845,0
Canarias,Santa Cruz de Tenerife,UCE,438,0
Canarias,Santa Cruz de Tenerife,ANC,2193,0
Cantabria,Cantabria,Abstención,141194,0
Cantabria,Cantabria,Votos en blanco,4157,0
Cantabria,Cantabria,Votos nulos,4040,0
Cantabria,Cantabria,PP,183244,4
Cantabria,Cantabria,PSOE,88624,1
Cantabria,Cantabria,IU-LV,12608,0
Cantabria,Cantabria,UPyD,12614,0
Cantabria,Cantabria,EQUO,2482,0
Cantabria,Cantabria,PACMA,1232,0
Cantabria,Cantabria,P.R.C.,44010,0
Cantabria,Cantabria,P.C.P.E.,578,0
Cantabria,Cantabria,ANTICAPITALISTAS,354,0
Cantabria,Cantabria,UCE,145,0
Cantabria,Cantabria,PH,275,0
Cantabria,Cantabria,SAIn,269,0
Cantabria,Cantabria,RPS,277,0
Cantabria,Cantabria,BASTA YA,380,0
Castilla - La Mancha,Albacete,Abstención,73941,0
Castilla - La Mancha,Albacete,Votos en blanco,3082,0
Castilla - La Mancha,Albacete,Votos nulos,3193,0
Castilla - La Mancha,Albacete,PP,127995,3
Castilla - La Mancha,Albacete,PSOE,69981,1
Castilla - La Mancha,Albacete,IU-LV,14324,0
Castilla - La Mancha,Albacete,UPyD,11614,0
Castilla - La Mancha,Albacete,EQUO,2077,0
Castilla - La Mancha,Albacete,PACMA,921,0
Castilla - La Mancha,Albacete,Eb,1153,0
Castilla - La Mancha,Albacete,PUM+J,597,0
Castilla - La Mancha,Albacete,P.C.P.E.,386,0
Castilla - La Mancha,Albacete,CYD,192,0
Castilla - La Mancha,Ciudad Real,Abstención,102159,0
Castilla - La Mancha,Ciudad Real,Votos en blanco,4016,0
Castilla - La Mancha,Ciudad Real,Votos nulos,4264,0
Castilla - La Mancha,Ciudad Real,PP,164776,3
Castilla - La Mancha,Ciudad Real,PSOE,95375,2
Castilla - La Mancha,Ciudad Real,IU-LV,16116,0
Castilla - La Mancha,Ciudad Real,UPyD,13106,0
Castilla - La Mancha,Ciudad Real,EQUO,1517,0
Castilla - La Mancha,Ciudad Real,PACMA,836,0
Castilla - La Mancha,Ciudad Real,Eb,1225,0
Castilla - La Mancha,Ciudad Real,PUM+J,381,0
Castilla - La Mancha,Ciudad Real,P.C.P.E.,423,0
Castilla - La Mancha,Ciudad Real,UCE,101,0
Castilla - La Mancha,Ciudad Real,CCD,469,0
Castilla - La Mancha,Cuenca,Abstención,36555,0
Castilla - La Mancha,Cuenca,Votos en blanco,1737,0
Castilla - La Mancha,Cuenca,Votos nulos,1853,0
Castilla - La Mancha,Cuenca,PP,69939,2
Castilla - La Mancha,Cuenca,PSOE,41293,1
Castilla - La Mancha,Cuenca,IU-LV,5968,0
Castilla - La Mancha,Cuenca,UPyD,4468,0
Castilla - La Mancha,Cuenca,EQUO,802,0
Castilla - La Mancha,Cuenca,PACMA,306,0
Castilla - La Mancha,Cuenca,PUM+J,157,0
Castilla - La Mancha,Cuenca,UCE,90,0
Castilla - La Mancha,Cuenca,C.D.L.,178,0
Castilla - La Mancha,Cuenca,PCAS,154,0
Castilla - La Mancha,Guadalajara,Abstención,45219,0
Castilla - La Mancha,Guadalajara,Votos en blanco,1776,0
Castilla - La Mancha,Guadalajara,Votos nulos,2197,0
Castilla - La Mancha,Guadalajara,PP,71362,2
Castilla - La Mancha,Guadalajara,PSOE,36589,1
Castilla - La Mancha,Guadalajara,IU-LV,9036,0
Castilla - La Mancha,Guadalajara,UPyD,9947,0
Castilla - La Mancha,Guadalajara,EQUO,1273,0
Castilla - La Mancha,Guadalajara,PACMA,620,0
Castilla - La Mancha,Guadalajara,Eb,498,0
Castilla - La Mancha,Guadalajara,ANTICAPITALISTAS,194,0
Castilla - La Mancha,Guadalajara,UCE,92,0
Castilla - La Mancha,Guadalajara,PCAS,197,0
Castilla - La Mancha,Guadalajara,D.N.,471,0
Castilla - La Mancha,Guadalajara,CCD,99,0
Castilla - La Mancha,Toledo,Abstención,123054,0
Castilla - La Mancha,Toledo,Votos en blanco,4422,0
Castilla - La Mancha,Toledo,Votos nulos,6211,0
Castilla - La Mancha,Toledo,PP,220474,4
Castilla - La Mancha,Toledo,PSOE,112568,2
Castilla - La Mancha,Toledo,IU-LV,22373,0
Castilla - La Mancha,Toledo,UPyD,19089,0
Castilla - La Mancha,Toledo,EQUO,2178,0
Castilla - La Mancha,Toledo,PACMA,1473,0
Castilla - La Mancha,Toledo,P.C.P.E.,629,0
Castilla - La Mancha,Toledo,UCE,163,0
Castilla - La Mancha,Toledo,HARTOS.ORG,789,0
Castilla - La Mancha,Toledo,U.C.I.T.,785,0
Castilla y León,Ávila,Abstención,35121,0
Castilla y León,Ávila,Votos en blanco,1233,0
Castilla y León,Ávila,Votos nulos,1481,0
Castilla y León,Ávila,PP,65600,2
Castilla y León,Ávila,PSOE,24278,1
Castilla y León,Ávila,IU-LV,4803,0
Castilla y León,Ávila,UPyD,8217,0
Castilla y León,Ávila,EQUO,725,0
Castilla y León,Ávila,PACMA,275,0
Castilla y León,Ávila,PUM+J,105,0
Castilla y León,Ávila,UCE,50,0
Castilla y León,Ávila,RPS,200,0
Castilla y León,Ávila,HARTOS.ORG,174,0
Castilla y León,Ávila,FE de las JONS,233,0
Castilla y León,Ávila,PFyV,83,0
Castilla y León,Burgos,Abstención,85781,0
Castilla y León,Burgos,Votos en blanco,3952,0
Castilla y León,Burgos,Votos nulos,3235,0
Castilla y León,Burgos,PP,116057,3
Castilla y León,Burgos,PSOE,59878,1
Castilla y León,Burgos,IU-LV,11892,0
Castilla y León,Burgos,UPyD,16090,0
